"Data","Study","sample_ids","GEO.series.accession.or.data.source","GEO.sample.accession.or.dataset.name","Author.described.protocol","Protocol.classification.region","Original.protocol.cited","Batch.variable","Age","Condition","Donor.ID..cell.line","Sequencing.platform","Normalization.of.available.data","Normalization.for.this.study","unprocessed_seurat_path","processed_seurat_path","pre_qc_cell_number","post_qc_cell_number","mean_mito","median_mito","mean_feature","median_feature","mean_count","median_count","dividing_cons_coexp_metric","intProg_cons_coexp_metric","nProg_cons_coexp_metric","glut_cons_coexp_metric","gaba_cons_coexp_metric","nonN_cons_coexp_metric","micro_cons_coexp_metric","egad_auc_gaba_markers","egad_auc_glut_markers","egad_auc_nonN_markers","egad_auc_intProg_markers","egad_auc_divProg_markers","egad_auc_nProg_markers","egad_auc_micro_markers","go_nProg_missing_ratio","go_nProg_no_exp_ratio","go_nProg_mean_counts","go_nProg_median_counts","go_divProg_missing_ratio","go_divProg_no_exp_ratio","go_divProg_mean_counts","go_divProg_median_counts","go_intProg_missing_ratio","go_intProg_no_exp_ratio","go_intProg_mean_counts","go_intProg_median_counts","go_glut_missing_ratio","go_glut_no_exp_ratio","go_glut_mean_counts","go_glut_median_counts","go_gaba_missing_ratio","go_gaba_no_exp_ratio","go_gaba_mean_counts","go_gaba_median_counts","go_nonN_missing_ratio","go_nonN_no_exp_ratio","go_nonN_mean_counts","go_nonN_median_counts","go_micro_missing_ratio","go_micro_no_exp_ratio","go_micro_mean_counts","go_micro_median_counts","treatment","genome_cons_coexp_score"
"","Uzquiano et al. 2022","uzquiano_11","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_3","Normal","GM","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_3month_batch1_processed.Rdata",24437,24419,0.0340082298237327,0.031661330487371,2088.29292763831,1966,5311.86354887588,4487,0.999535301782873,0.839225761136444,0.971287691654095,0.893905787994881,0.650545106619139,0.888458826751736,0.508337910498479,0.530615691114309,0.857032328329883,0.888276686868687,0.768717849242557,0.957125745097203,0.929769200930954,0.650813508611674,0,0.0131578947368421,7068.65789473684,1999,0,0,4002.54545454545,1885,0,0.0126582278481013,2965.53164556962,740,0,0.0108695652173913,14540.6630434783,2614,0,0,1229.42168674699,154,0,0,2950.06666666667,586,0,0.161616161616162,7027.06060606061,116,"Normal",0.731651601600234
"","Uzquiano et al. 2022","uzquiano_12","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_3","Normal","HUES66","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_3month_batch2_processed.Rdata",32959,32957,0.0205527223665127,0.0199291408325952,1756.8791455533,1667,4125.56397730376,3573,0.999671225279036,0.839691213639487,0.959400654047027,0.918126362044943,0.715841722538081,0.887652311212077,0.516844382732052,0.715414344029888,0.836630596532091,0.834335353535353,0.728997947076605,0.955507700665703,0.893902249806051,0.670239848119563,0,0,9124.42105263158,1750,0,0,3588.28282828283,1494,0,0,2487.48101265823,485,0,0.0108695652173913,15573.9130434783,2883.5,0,0.0120481927710843,1429.22891566265,264,0,0.0133333333333333,4583.34666666667,658,0,0.111111111111111,6510.0404040404,134,"Normal",0.744166541743226
"","Uzquiano et al. 2022","uzquiano_13","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_3","Normal","HUES66","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_3month_batch3_processed.Rdata",18694,18638,0.0768912034430082,0.0771182064127192,2215.17260435669,2079,5196.94940444254,4350,0.999568452664301,0.811106678715712,0.959921621202215,0.885737432409997,0.642310476377937,0.866120966052814,0.511633664695678,0.588606310146787,0.837155204020014,0.862687676767677,0.744396115983333,0.955568990227502,0.926392552366175,0.637612962791352,0,0.0131578947368421,6424.40789473684,1577.5,0,0,2350.21212121212,1228,0,0,2206.84810126582,529,0,0,11609.4782608696,3407.5,0,0.0120481927710843,1111.66265060241,153,0,0.0133333333333333,3051.58666666667,528,0,0.141414141414141,4839.67676767677,125,"Normal",0.734781450176679
"","Uzquiano et al. 2022","uzquiano_14","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_3","Normal","Mito210c1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_3month_batch4_processed.Rdata",20964,20900,0.0678079063321595,0.0616448283381424,2552.43196172249,2539,6539.8276076555,6054.5,0.999380386102799,0.835963892021138,0.968224978440107,0.910560563584514,0.691943131412013,0.887992685323924,0.506303159196001,0.667711291832163,0.831818819013112,0.875813494949495,0.755822419017705,0.949073767626265,0.93766097750194,0.600756607382499,0,0.0131578947368421,7246.02631578947,2201,0,0,3743.73737373737,2024,0,0.0253164556962025,3444.56962025316,818,0,0.0108695652173913,14950.5543478261,3507.5,0,0,1393.65060240964,194,0,0.0133333333333333,3003.65333333333,626,0,0.131313131313131,5335.73737373737,101,"Normal",0.74078384228544
"","Uzquiano et al. 2022","uzquiano_15","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_3","Normal","Mito210c1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_3month_batch5_processed.Rdata",17059,17053,0.0618147428821014,0.0612461898348338,2087.71459567232,2053,4741.14390429836,4366,0.999506447333795,0.827293688139787,0.961719169352644,0.90468769373349,0.752605190931448,0.898235713019801,0.510291151644044,0.735030183050425,0.845784269323672,0.889381171717172,0.731478614655958,0.954076957135061,0.931394168606155,0.615084881139927,0,0.0131578947368421,4121.42105263158,907.5,0,0,2204.86868686869,1134,0,0,1657.89873417722,347,0,0,9138.17391304348,2913,0,0.0120481927710843,980.10843373494,193,0,0.0133333333333333,1592.22666666667,280,0,0.161616161616162,3113.49494949495,57,"Normal",0.732615101305905
"","Uzquiano et al. 2022","uzquiano_16","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_3","Normal","PGP1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_3month_batch6_processed.Rdata",27646,27608,0.0171192557406136,0.0167629015924084,1952.23547522457,1814,5175.02857867285,4277,0.99963079975647,0.847205296522153,0.975448464859282,0.898837336370724,0.704588783865706,0.92338079816972,0.882092323495968,0.65764468612442,0.841985043564527,0.907021898989899,0.769573337610775,0.930605506548422,0.941647271786915,0.956716575982631,0,0,6114.94736842105,1771,0,0,3004.39393939394,1426,0,0.0253164556962025,2512.35443037975,575,0,0.0108695652173913,13961.2826086957,2672,0,0.0120481927710843,1224.77108433735,224,0,0.0133333333333333,3391.89333333333,799,0,0.0101010101010101,6999.69696969697,298,"Normal",0.753922711034803
"","Uzquiano et al. 2022","uzquiano_17","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_4","Normal","PGP1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_4month_batch1_processed.Rdata",19771,19745,0.0655190824318165,0.0558007566204288,1890.04482147379,1772,4424.56216763738,3717,0.999457868354383,0.823488480088789,0.969616163941683,0.887061518723455,0.72266124772666,0.891949828411233,0.506843679679486,0.679336002831177,0.815476999223603,0.879476686868687,0.666781995948865,0.973445439296612,0.938712826480476,0.658758842245081,0,0,6819.36842105263,1644,0,0,2845.38383838384,1373,0,0.0126582278481013,2111.81012658228,482,0,0,9171.80434782609,2626,0,0.0120481927710843,875.795180722892,152,0,0.0133333333333333,4012.70666666667,695,0,0.121212121212121,5651.78787878788,110,"Normal",0.743938837600228
"","Uzquiano et al. 2022","uzquiano_18","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_4","Normal","Mito210c1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_4month_batch2_processed.Rdata",18577,18568,0.0639929282836197,0.0620744206658193,2101.09220163723,1959,5174.82130547178,4385.5,0.999538377637851,0.81560680750671,0.962153515343775,0.896947180501296,0.659117906203576,0.863419272721414,0.502018493211881,0.623732841829558,0.828700558574879,0.841277737373737,0.731976924196021,0.957955850922212,0.925481962761831,0.632977755811599,0,0,8662.05263157895,1744.5,0,0,2903.17171717172,1674,0,0.0126582278481013,2330.6582278481,414,0,0.0108695652173913,11353.0108695652,2198.5,0,0.0240963855421687,881.771084337349,98,0,0.0133333333333333,3301.18666666667,554,0,0.171717171717172,4790.74747474747,81,"Normal",0.736155148608691
"","Uzquiano et al. 2022","uzquiano_19","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_5","Normal","Mito210c1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_5month_batch1_processed.Rdata",14476,14288,0.0696089288571799,0.0672947350806447,2753.6521556551,2503,7578.29843225084,5955,0.999328731268409,0.792077732250551,0.966708058693789,0.889942381689913,0.725254092885632,0.865905263666683,0.506435103609931,0.725371067984769,0.857250150966184,0.829908686868687,0.694269844408053,0.965577820827566,0.864632143780709,0.625057183161159,0,0,18414.4342105263,3315.5,0,0,3722.60606060606,2035,0,0.0379746835443038,3299.40506329114,512,0,0.0108695652173913,8443.29347826087,1640,0,0.0240963855421687,1264.36144578313,151,0,0.0266666666666667,8156.50666666667,1476,0,0.151515151515152,7387.34343434343,97,"Normal",0.741425059828988
"","Uzquiano et al. 2022","uzquiano_20","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_5","Normal","PGP1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_5month_batch2_processed.Rdata",17311,17268,0.0669905574838633,0.0595627736571828,1927.18253416725,1716,4332.29100069493,3411,0.999580267853263,0.796100661331069,0.964191974631828,0.899584031211713,0.745533363576593,0.909338875731065,0.487940036451323,0.764141063020628,0.849130866114562,0.869450343434343,0.658637759117852,0.977148799778769,0.865780320662012,0.569247153345013,0,0,10318.4078947368,3147.5,0,0,3262.64646464646,1717,0,0.0126582278481013,1589.91139240506,291,0,0.0108695652173913,5461.84782608696,1336.5,0,0,1111.1686746988,191,0,0,9501.81333333333,1804,0,0.191919191919192,5210.13131313131,83,"Normal",0.746986544110934
"","Uzquiano et al. 2022","uzquiano_21","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_6","Normal","11a","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_6month_batch1_processed.Rdata",25618,25614,0.0247294761298004,0.0216855710347337,1595.94631841961,1349,3960.99597876161,2948.5,0.999700079728114,0.767820177174809,0.961527388060271,0.886713113668889,0.726322584552527,0.88758667246685,0.492273696411161,0.78062632000321,0.846531012767426,0.748325494949495,0.618087237431595,0.96517429035268,0.75783359193173,0.573979197832409,0,0,11234.5263157895,3779.5,0,0,3616.16161616162,1695,0,0.0126582278481013,2293.62025316456,383,0,0.0108695652173913,4209.33695652174,799.5,0,0.0120481927710843,1620.27710843373,355,0,0.0266666666666667,15382.3733333333,2483,0,0.141414141414141,7964.94949494949,129,"Normal",0.735842727692818
"","Uzquiano et al. 2022","uzquiano_22","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_6","Normal","GM","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_6month_batch2_processed.Rdata",15256,15218,0.0287907799260111,0.0237920314355607,2013.86331975292,1737,5564.16079642529,4039.5,0.999734988240958,0.710442135519946,0.946252362684467,0.779497900585692,0.729802723873405,0.88901006976332,0.506272986523361,0.839469046579683,0.842977646221532,0.843422383838384,0.607907485398878,0.949536626396973,0.809513188518231,0.674483537378542,0,0,15701.2236842105,3175,0,0,3904.31313131313,1767,0,0.0126582278481013,2037.58227848101,307,0,0.0326086956521739,1469.08695652174,223,0,0.0481927710843374,1453.13253012048,248,0,0,8265.12,1926,0,0.191919191919192,8228.70707070707,91,"Normal",0.708854761672928
"","Uzquiano et al. 2022","uzquiano_23","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_6","Normal","HUES66","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_6month_batch3_processed.Rdata",19294,19203,0.112812656617508,0.0914457279527759,2028.06566682289,1781,5701.02770400458,4159,0.99946773061955,0.72814912345642,0.949674089460201,0.857169268693509,0.697690670847147,0.865263537789808,0.45899609464064,0.745631526661744,0.854972179089027,0.728476767676768,0.58277782544307,0.976633967459655,0.794656710628394,0.610120671792435,0,0,29518.8289473684,4087,0,0,3614.0303030303,1767,0,0.0126582278481013,2252.9746835443,285,0,0,3850.52173913043,674,0,0.036144578313253,1512.46987951807,153,0,0.0133333333333333,22327.7866666667,2875,0,0.161616161616162,12394.8484848485,123,"Normal",0.70888782657264
"","Uzquiano et al. 2022","uzquiano_24","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_6","Normal","Mito210c1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_6month_batch4_processed.Rdata",16155,15890,0.0796684857164259,0.0733390564531716,2417.23536815607,2044,6980.31913152926,4647.5,0.999129581864368,0.750162747769713,0.956057344228181,0.873731551317966,0.722470383248883,0.876146615753943,0.472699565620925,0.833539623599606,0.870150211352657,0.682753939393939,0.640128497337168,0.972946297105319,0.68193043703129,0.573833083517079,0,0,28877,5075,0,0,3872.26262626263,1910,0,0.0253164556962025,2316.30379746835,376,0,0.0108695652173913,4270.10869565217,789,0,0.0120481927710843,1849.42168674699,266,0,0.0133333333333333,18163.4266666667,3403,0,0.161616161616162,9432.36363636364,138,"Normal",0.71205586027535
"","Uzquiano et al. 2022","uzquiano_25","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_6","Normal","Mito210c1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_6month_batch5_processed.Rdata",11475,11298,0.096977068406248,0.0773623846967064,1987.75030978934,1627,5736.42228713047,3757,0.999563716824097,0.713772254686799,0.940821686327085,0.685633459914636,0.710379853795772,0.882839641033077,0.484450356921235,0.815420811184825,0.777575051759834,0.711749171717172,0.604644381692052,0.973280202638001,0.68514998707008,0.623559266270785,0,0,14410.4342105263,2368.5,0,0,1917.73737373737,891,0,0.0253164556962025,1658.81012658228,189,0,0.0108695652173913,1511.82608695652,145.5,0,0.0481927710843374,1203.59036144578,180,0,0.0133333333333333,11554.8133333333,2110,0,0.171717171717172,6159.56565656566,63,"Normal",0.695775428049585
"","Uzquiano et al. 2022","uzquiano_26","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_6","Normal","PGP1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_6month_batch6_processed.Rdata",14754,14748,0.0238901825095797,0.0207742850643007,1696.80471928397,1513,4564.86649037158,3509.5,0.999724247160083,0.772464178665236,0.969255147027024,0.86436956101436,0.658912570384006,0.906973721945639,0.495276243512021,0.7301858049542,0.852460209627329,0.884690747474748,0.656832902480543,0.965688142038805,0.893618438065684,0.699406815105082,0,0,7815.76315789474,1868,0,0,2236.46464646465,1041,0,0.0253164556962025,1144.69620253165,278,0,0,2837.71739130435,496,0,0.0240963855421687,745.975903614458,159,0,0,8091.62666666667,1532,0,0.141414141414141,4546.71717171717,97,"Normal",0.732201518205081
